                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6733,                 2.4546,                 1.2542,                0.77189,                0.78899,                0.83562,                0.44084,                 1.4209,                 1.9237,                 1.2108,                 0.0004,                 0.0004,                 0.0004
                      2,                 1.5752,                 1.4101,                 1.2117,                0.49634,                0.78899,                0.67093,                0.32565,                 1.4679,                 5.6811,                 1.3115,             0.00073882,             0.00073882,             0.00073882
                      3,                 1.6684,                 1.3127,                 1.3725,                0.01372,                0.89908,                 0.0131,                0.00598,                  1.737,                 399.38,                 1.5741,             0.00099448,             0.00099448,             0.00099448
                      4,                 1.5956,                 1.2581,                 1.2998,                0.00067,                0.05505,                0.00034,                0.00018,                 4.0338,             1.2945e+05,                 747.24,               0.001167,               0.001167,               0.001167
                      5,                 1.6101,                 1.1154,                 1.3311,                0.65614,                0.55046,                0.59652,                0.30208,                 1.7807,                 3.2323,                 1.6965,               0.001208,               0.001208,               0.001208
                      6,                 1.5889,                 1.0735,                 1.3235,                0.75275,                0.66972,                0.75499,                0.36952,                 1.5393,                 2.2506,                  1.459,               0.001208,               0.001208,               0.001208
                      7,                 1.5468,                 1.0999,                 1.2854,                0.54846,                0.58716,                0.55376,                0.24349,                 1.7103,                 1.6155,                 1.5078,                0.00101,                0.00101,                0.00101
                      8,                 1.5178,                 1.0388,                 1.2839,                0.63651,                0.56231,                0.63657,                0.27054,                 1.7065,                 1.4058,                 1.4295,               0.000812,               0.000812,               0.000812
                      9,                 1.4183,                 0.9183,                 1.2153,                 0.7537,                 0.8703,                0.85872,                0.43753,                 1.4667,                 1.0644,                 1.2875,               0.000614,               0.000614,               0.000614
                     10,                 1.4571,                  0.871,                 1.2129,                0.89949,                0.82102,                0.90068,                0.52883,                 1.3704,                0.83197,                 1.2807,               0.000416,               0.000416,               0.000416
