                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3335,                 1.2385,                 1.0381,                0.64249,                0.62143,                0.60265,                0.33101,                 1.4136,                 1.1332,                 1.0446,             0.00055474,             0.00055474,             0.00055474
                      2,                  1.279,                0.87015,                 1.0291,                0.55585,                0.61731,                0.60577,                0.33433,                  1.413,                0.89387,                  1.043,              0.0010005,              0.0010005,              0.0010005
                      3,                 1.2471,                0.79014,                 1.0166,                0.60621,                0.64745,                0.63248,                0.35746,                  1.428,                0.89406,                 1.1011,              0.0013362,              0.0013362,              0.0013362
                      4,                 1.1886,                0.72041,                 1.0026,                0.65633,                0.66858,                 0.6576,                0.36658,                 1.3902,                0.78883,                 1.0579,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.1586,                0.68361,                0.98615,                0.58209,                0.71016,                0.63447,                 0.3791,                 1.3396,                0.74821,                 1.0408,              0.0011719,              0.0011719,              0.0011719
                      6,                  1.109,                0.63491,                0.97491,                0.63324,                0.85259,                0.67457,                0.39643,                 1.3475,                0.70052,                 1.0442,              0.0010069,              0.0010069,              0.0010069
                      7,                 1.0695,                0.60393,                0.95554,                0.65283,                0.77528,                0.66752,                0.38709,                 1.3722,                0.69907,                 1.0478,             0.00084184,             0.00084184,             0.00084184
                      8,                 1.0272,                0.57194,                0.94281,                0.62164,                0.81214,                0.68166,                0.39918,                 1.3496,                0.67702,                 1.0215,              0.0006768,              0.0006768,              0.0006768
                      9,                0.99061,                0.53838,                0.92582,                0.64413,                0.77911,                0.67055,                0.40424,                 1.3402,                0.64994,                 1.0274,             0.00051177,             0.00051177,             0.00051177
                     10,                0.95866,                0.51077,                0.91749,                0.65185,                0.82962,                0.69628,                0.42777,                 1.2934,                0.62094,                0.99945,             0.00034674,             0.00034674,             0.00034674
