                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82793,                 2.1514,                 1.0485,                0.67595,                0.65913,                0.66592,                0.49822,                 0.8569,                 1.8364,                0.99747,              0.0004108,              0.0004108,              0.0004108
                      2,                0.92919,                 1.4212,                 1.0924,                0.68776,                0.57707,                0.64112,                0.45194,                 1.0184,                 1.6974,                 1.1311,             0.00074555,             0.00074555,             0.00074555
                      3,                0.96125,                 1.3495,                  1.115,                0.78661,                0.50051,                0.61423,                0.39756,                 1.0616,                 1.9892,                 1.2115,             0.00099779,             0.00099779,             0.00099779
                      4,                0.95133,                 1.2727,                 1.1058,                0.71707,                0.67383,                 0.7689,                0.52384,                 1.0288,                 1.3775,                 1.1382,             0.00087875,             0.00087875,             0.00087875
                      5,                0.93081,                 1.1284,                 1.0828,                0.82182,                0.72831,                0.83132,                0.59181,                0.95065,                 1.1372,                 1.1138,             0.00087875,             0.00087875,             0.00087875
                      6,                0.85484,                 1.0551,                 1.0594,                0.81671,                0.74017,                0.84377,                0.62855,                0.90211,                 1.0266,                 1.0736,               0.000755,               0.000755,               0.000755
                      7,                0.82947,                0.95553,                  1.043,                0.87381,                0.77403,                0.87497,                0.66423,                0.85956,                 0.9479,                 1.0383,             0.00063125,             0.00063125,             0.00063125
                      8,                0.80493,                0.90065,                 1.0352,                0.88545,                 0.7921,                0.89481,                0.69105,                0.79789,                 0.9002,                 1.0226,              0.0005075,              0.0005075,              0.0005075
                      9,                0.73858,                 0.7989,                 1.0133,                0.90508,                0.83686,                 0.9157,                0.71716,                0.76106,                0.77842,                0.99558,             0.00038375,             0.00038375,             0.00038375
                     10,                0.70837,                0.74645,                0.98635,                0.88955,                0.82665,                 0.9167,                 0.7316,                0.72228,                0.75279,                0.97366,                0.00026,                0.00026,                0.00026
