                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83366,                 2.1618,                 1.0472,                0.62733,                0.58274,                0.62186,                0.45661,                0.83896,                 1.9085,                 1.0104,              0.0004108,              0.0004108,              0.0004108
                      2,                0.89258,                 1.3667,                 1.0825,                0.73799,                0.68596,                 0.7926,                0.56041,                0.95374,                 1.4381,                 1.0807,             0.00074555,             0.00074555,             0.00074555
                      3,                0.95608,                 1.3156,                 1.1093,                0.69343,                0.57959,                0.61292,                 0.4187,                0.98301,                 1.6727,                 1.1364,             0.00099779,             0.00099779,             0.00099779
                      4,                0.95403,                 1.2714,                 1.1241,                0.78139,                0.74885,                0.82437,                0.60178,                0.95015,                 1.2203,                 1.1088,             0.00087875,             0.00087875,             0.00087875
                      5,                0.92938,                 1.1846,                 1.1038,                0.77148,                0.74477,                0.81142,                0.56649,                0.99966,                 1.2212,                 1.1419,             0.00087875,             0.00087875,             0.00087875
                      6,                0.90371,                 1.0954,                 1.0809,                0.83221,                0.78148,                0.85384,                0.62748,                0.90713,                   1.05,                 1.0662,               0.000755,               0.000755,               0.000755
                      7,                0.84266,                0.96999,                 1.0336,                0.86594,                0.81458,                0.89116,                0.68886,                0.81772,                0.89574,                 1.0249,             0.00063125,             0.00063125,             0.00063125
                      8,                0.80715,                0.89153,                  1.026,                0.88741,                0.82873,                0.89772,                0.68901,                0.82282,                0.89928,                 1.0114,              0.0005075,              0.0005075,              0.0005075
                      9,                0.73738,                0.81465,                0.99915,                0.86123,                0.84295,                0.90745,                0.72281,                0.76442,                0.77414,                0.99564,             0.00038375,             0.00038375,             0.00038375
                     10,                0.70451,                0.73251,                0.98417,                0.91941,                0.85727,                0.93478,                0.74828,                0.73557,                0.71239,                0.98332,                0.00026,                0.00026,                0.00026
