                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82889,                  2.178,                 1.0288,                0.62513,                0.58163,                  0.634,                0.45979,                0.95332,                 1.8527,                 1.0806,              0.0004108,              0.0004108,              0.0004108
                      2,                0.92041,                 1.4353,                 1.0834,                0.76071,                 0.6924,                0.78185,                0.55717,                0.98197,                 1.3692,                 1.1285,             0.00074555,             0.00074555,             0.00074555
                      3,                 0.9371,                 1.3333,                 1.0856,                 0.8536,                0.74267,                0.83766,                0.57886,                 1.0045,                 1.3033,                 1.1292,             0.00099779,             0.00099779,             0.00099779
                      4,                0.93744,                 1.2474,                 1.0935,                0.83101,                0.75579,                0.84152,                0.58519,                 1.0816,                 1.1514,                 1.1868,             0.00087875,             0.00087875,             0.00087875
                      5,                0.91794,                 1.1685,                 1.0686,                0.83793,                0.72854,                0.82806,                0.59948,                0.98561,                  1.123,                 1.1259,             0.00087875,             0.00087875,             0.00087875
                      6,                0.87607,                 1.0674,                 1.0599,                0.85397,                0.79256,                 0.8797,                0.64876,                 0.8956,                 1.0118,                 1.0841,               0.000755,               0.000755,               0.000755
                      7,                0.83803,                0.98776,                 1.0331,                0.86733,                0.85685,                0.91775,                 0.6988,                0.86489,                0.85403,                 1.0508,             0.00063125,             0.00063125,             0.00063125
                      8,                0.76691,                0.87531,                 1.0026,                0.90629,                0.85557,                0.93001,                0.69573,                0.85368,                0.80552,                 1.0481,              0.0005075,              0.0005075,              0.0005075
                      9,                0.73581,                 0.8006,                0.98526,                0.90635,                0.86249,                0.92776,                0.70149,                0.84933,                0.76968,                 1.0589,             0.00038375,             0.00038375,             0.00038375
                     10,                0.70126,                0.73827,                0.97112,                0.92196,                0.86891,                0.92816,                0.73526,                0.77432,                0.71761,                   1.02,                0.00026,                0.00026,                0.00026
